... loading data
... building the model
... training the model
     epoch 229, minibatch 83/83, test error of best model 7.250000 %
epoch 230, minibatch 83/83, validation error 7.010417 %
epoch 231, minibatch 83/83, validation error 7.020833 %
epoch 232, minibatch 83/83, validation error 7.020833 %
epoch 233, minibatch 83/83, validation error 7.020833 %
epoch 234, minibatch 83/83, validation error 7.031250 %
epoch 235, minibatch 83/83, validation error 7.031250 %
epoch 236, minibatch 83/83, validation error 7.031250 %
epoch 237, minibatch 83/83, validation error 7.031250 %
epoch 238, minibatch 83/83, validation error 7.031250 %
epoch 239, minibatch 83/83, validation error 7.031250 %
epoch 240, minibatch 83/83, validation error 7.031250 %
epoch 241, minibatch 83/83, validation error 7.031250 %
epoch 242, minibatch 83/83, validation error 7.031250 %
epoch 243, minibatch 83/83, validation error 7.020833 %
epoch 244, minibatch 83/83, validation error 7.010417 %
epoch 245, minibatch 83/83, validation error 7.020833 %
epoch 246, minibatch 83/83, validation error 7.020833 %
epoch 247, minibatch 83/83, validation error 7.020833 %
epoch 248, minibatch 83/83, validation error 7.020833 %
epoch 249, minibatch 83/83, validation error 7.020833 %
epoch 250, minibatch 83/83, validation error 7.031250 %
epoch 251, minibatch 83/83, validation error 7.031250 %
epoch 252, minibatch 83/83, validation error 7.031250 %
epoch 253, minibatch 83/83, validation error 7.031250 %
epoch 254, minibatch 83/83, validation error 7.031250 %
epoch 255, minibatch 83/83, validation error 7.031250 %
epoch 256, minibatch 83/83, validation error 7.020833 %
epoch 257, minibatch 83/83, validation error 7.020833 %
epoch 258, minibatch 83/83, validation error 7.020833 %
epoch 259, minibatch 83/83, validation error 7.020833 %
epoch 260, minibatch 83/83, validation error 7.020833 %
epoch 261, minibatch 83/83, validation error 7.020833 %
epoch 262, minibatch 83/83, validation error 7.020833 %
epoch 263, minibatch 83/83, validation error 7.020833 %
epoch 264, minibatch 83/83, validation error 7.020833 %
epoch 265, minibatch 83/83, validation error 7.020833 %
epoch 266, minibatch 83/83, validation error 7.020833 %
epoch 267, minibatch 83/83, validation error 7.010417 %
epoch 268, minibatch 83/83, validation error 7.010417 %
epoch 269, minibatch 83/83, validation error 7.010417 %
epoch 270, minibatch 83/83, validation error 7.020833 %
epoch 271, minibatch 83/83, validation error 7.020833 %
epoch 272, minibatch 83/83, validation error 7.020833 %
epoch 273, minibatch 83/83, validation error 7.010417 %
epoch 274, minibatch 83/83, validation error 7.000000 %
     epoch 274, minibatch 83/83, test error of best model 7.177083 %
epoch 275, minibatch 83/83, validation error 7.000000 %
epoch 276, minibatch 83/83, validation error 7.000000 %
epoch 277, minibatch 83/83, validation error 7.000000 %
epoch 278, minibatch 83/83, validation error 7.000000 %
epoch 279, minibatch 83/83, validation error 7.000000 %
epoch 280, minibatch 83/83, validation error 7.000000 %
epoch 281, minibatch 83/83, validation error 7.000000 %
epoch 282, minibatch 83/83, validation error 7.000000 %
epoch 283, minibatch 83/83, validation error 7.000000 %
epoch 284, minibatch 83/83, validation error 6.989583 %
     epoch 284, minibatch 83/83, test error of best model 7.166667 %
epoch 285, minibatch 83/83, validation error 6.989583 %
epoch 286, minibatch 83/83, validation error 6.979167 %
     epoch 286, minibatch 83/83, test error of best model 7.187500 %
epoch 287, minibatch 83/83, validation error 6.979167 %
