... loading data
... building the model
... training
epoch 197, minibatch 2500/2500, validation error 2.000000 %
epoch 198, minibatch 2500/2500, validation error 2.000000 %
epoch 199, minibatch 2500/2500, validation error 2.000000 %
epoch 200, minibatch 2500/2500, validation error 2.000000 %
epoch 201, minibatch 2500/2500, validation error 2.000000 %
epoch 202, minibatch 2500/2500, validation error 2.000000 %
epoch 203, minibatch 2500/2500, validation error 1.990000 %
     epoch 203, minibatch 2500/2500, test error of best model 1.970000 %
epoch 204, minibatch 2500/2500, validation error 1.990000 %
epoch 205, minibatch 2500/2500, validation error 1.980000 %
     epoch 205, minibatch 2500/2500, test error of best model 1.960000 %
epoch 206, minibatch 2500/2500, validation error 1.980000 %
epoch 207, minibatch 2500/2500, validation error 1.980000 %
epoch 208, minibatch 2500/2500, validation error 1.980000 %
epoch 209, minibatch 2500/2500, validation error 1.980000 %
epoch 210, minibatch 2500/2500, validation error 1.980000 %
epoch 211, minibatch 2500/2500, validation error 1.980000 %
epoch 212, minibatch 2500/2500, validation error 1.980000 %
epoch 213, minibatch 2500/2500, validation error 1.980000 %
epoch 214, minibatch 2500/2500, validation error 1.980000 %
epoch 215, minibatch 2500/2500, validation error 1.980000 %
epoch 216, minibatch 2500/2500, validation error 1.980000 %
epoch 217, minibatch 2500/2500, validation error 1.980000 %
epoch 218, minibatch 2500/2500, validation error 1.980000 %
epoch 219, minibatch 2500/2500, validation error 1.980000 %
epoch 220, minibatch 2500/2500, validation error 1.970000 %
     epoch 220, minibatch 2500/2500, test error of best model 1.940000 %
epoch 221, minibatch 2500/2500, validation error 1.970000 %
epoch 222, minibatch 2500/2500, validation error 1.970000 %
epoch 223, minibatch 2500/2500, validation error 1.970000 %
epoch 224, minibatch 2500/2500, validation error 1.970000 %
epoch 225, minibatch 2500/2500, validation error 1.960000 %
     epoch 225, minibatch 2500/2500, test error of best model 1.950000 %
epoch 226, minibatch 2500/2500, validation error 1.960000 %
epoch 227, minibatch 2500/2500, validation error 1.960000 %
epoch 228, minibatch 2500/2500, validation error 1.950000 %
     epoch 228, minibatch 2500/2500, test error of best model 1.960000 %
epoch 229, minibatch 2500/2500, validation error 1.960000 %
epoch 230, minibatch 2500/2500, validation error 1.960000 %
epoch 231, minibatch 2500/2500, validation error 1.960000 %
epoch 232, minibatch 2500/2500, validation error 1.960000 %
epoch 233, minibatch 2500/2500, validation error 1.960000 %
epoch 234, minibatch 2500/2500, validation error 1.960000 %
epoch 235, minibatch 2500/2500, validation error 1.970000 %
epoch 236, minibatch 2500/2500, validation error 1.970000 %
epoch 237, minibatch 2500/2500, validation error 1.970000 %
epoch 238, minibatch 2500/2500, validation error 1.970000 %
epoch 239, minibatch 2500/2500, validation error 1.970000 %
epoch 240, minibatch 2500/2500, validation error 1.970000 %
epoch 241, minibatch 2500/2500, validation error 1.970000 %
epoch 242, minibatch 2500/2500, validation error 1.970000 %
epoch 243, minibatch 2500/2500, validation error 1.970000 %
epoch 244, minibatch 2500/2500, validation error 1.970000 %
epoch 245, minibatch 2500/2500, validation error 1.970000 %
epoch 246, minibatch 2500/2500, validation error 1.970000 %
epoch 247, minibatch 2500/2500, validation error 1.970000 %
epoch 248, minibatch 2500/2500, validation error 1.970000 %
epoch 249, minibatch 2500/2500, validation error 1.970000 %
epoch 250, minibatch 2500/2500, validation error 1.980000 %
epoch 251, minibatch 2500/2500, validation error 1.980000 %
epoch 252, minibatch 2500/2500, validation error 1.980000 %
epoch 253, minibatch 2500/2500, validation error 1.990000 %
epoch 254, minibatch 2500/2500, validation error 1.990000 %
epoch 255, minibatch 2500/2500, validation error 1.990000 %
epoch 256, minibatch 2500/2500, validation error 1.990000 %
epoch 257, minibatch 2500/2500, validation error 1.970000 %
epoch 258, minibatch 2500/2500, validation error 1.970000 %
epoch 259, minibatch 2500/2500, validation error 1.950000 %
epoch 260, minibatch 2500/2500, validation error 1.950000 %
epoch 261, minibatch 2500/2500, validation error 1.950000 %
epoch 262, minibatch 2500/2500, validation error 1.950000 %
epoch 263, minibatch 2500/2500, validation error 1.950000 %
epoch 264, minibatch 2500/2500, validation error 1.950000 %
epoch 265, minibatch 2500/2500, validation error 1.950000 %
epoch 266, minibatch 2500/2500, validation error 1.950000 %
epoch 267, minibatch 2500/2500, validation error 1.950000 %
epoch 268, minibatch 2500/2500, validation error 1.950000 %
epoch 269, minibatch 2500/2500, validation error 1.950000 %
epoch 270, minibatch 2500/2500, validation error 1.950000 %
epoch 271, minibatch 2500/2500, validation error 1.950000 %
epoch 272, minibatch 2500/2500, validation error 1.950000 %
epoch 273, minibatch 2500/2500, validation error 1.950000 %
epoch 274, minibatch 2500/2500, validation error 1.950000 %
epoch 275, minibatch 2500/2500, validation error 1.950000 %
epoch 276, minibatch 2500/2500, validation error 1.950000 %
epoch 277, minibatch 2500/2500, validation error 1.950000 %
epoch 278, minibatch 2500/2500, validation error 1.950000 %
epoch 279, minibatch 2500/2500, validation error 1.950000 %
epoch 280, minibatch 2500/2500, validation error 1.950000 %
epoch 281, minibatch 2500/2500, validation error 1.940000 %
     epoch 281, minibatch 2500/2500, test error of best model 1.880000 %
epoch 282, minibatch 2500/2500, validation error 1.940000 %
epoch 283, minibatch 2500/2500, validation error 1.940000 %
epoch 284, minibatch 2500/2500, validation error 1.940000 %
epoch 285, minibatch 2500/2500, validation error 1.940000 %
epoch 286, minibatch 2500/2500, validation error 1.940000 %
epoch 287, minibatch 2500/2500, validation error 1.940000 %
epoch 288, minibatch 2500/2500, validation error 1.940000 %
epoch 289, minibatch 2500/2500, validation error 1.940000 %
epoch 290, minibatch 2500/2500, validation error 1.940000 %
epoch 291, minibatch 2500/2500, validation error 1.930000 %
     epoch 291, minibatch 2500/2500, test error of best model 1.850000 %
epoch 292, minibatch 2500/2500, validation error 1.930000 %
epoch 293, minibatch 2500/2500, validation error 1.920000 %
     epoch 293, minibatch 2500/2500, test error of best model 1.840000 %
epoch 294, minibatch 2500/2500, validation error 1.920000 %
epoch 295, minibatch 2500/2500, validation error 1.920000 %
epoch 296, minibatch 2500/2500, validation error 1.920000 %
epoch 297, minibatch 2500/2500, validation error 1.920000 %
epoch 298, minibatch 2500/2500, validation error 1.910000 %
     epoch 298, minibatch 2500/2500, test error of best model 1.830000 %
epoch 299, minibatch 2500/2500, validation error 1.910000 %
epoch 300, minibatch 2500/2500, validation error 1.910000 %
epoch 301, minibatch 2500/2500, validation error 1.910000 %
epoch 302, minibatch 2500/2500, validation error 1.910000 %
epoch 303, minibatch 2500/2500, validation error 1.910000 %
epoch 304, minibatch 2500/2500, validation error 1.900000 %
     epoch 304, minibatch 2500/2500, test error of best model 1.830000 %
epoch 305, minibatch 2500/2500, validation error 1.900000 %
epoch 306, minibatch 2500/2500, validation error 1.890000 %
     epoch 306, minibatch 2500/2500, test error of best model 1.820000 %
epoch 307, minibatch 2500/2500, validation error 1.890000 %
epoch 308, minibatch 2500/2500, validation error 1.890000 %
epoch 309, minibatch 2500/2500, validation error 1.890000 %
epoch 310, minibatch 2500/2500, validation error 1.890000 %
epoch 311, minibatch 2500/2500, validation error 1.890000 %
epoch 312, minibatch 2500/2500, validation error 1.890000 %
epoch 313, minibatch 2500/2500, validation error 1.890000 %
epoch 314, minibatch 2500/2500, validation error 1.890000 %
epoch 315, minibatch 2500/2500, validation error 1.890000 %
epoch 316, minibatch 2500/2500, validation error 1.890000 %
epoch 317, minibatch 2500/2500, validation error 1.890000 %
epoch 318, minibatch 2500/2500, validation error 1.890000 %
epoch 319, minibatch 2500/2500, validation error 1.890000 %
